Date,Task,Name,chk
21-Sep,2,Choose Supervisor,
28-Sep,3,Research Java EE,
05-Oct,4,Research existing java frameworks,
12-Oct,5,Select SDLC,
19-Oct,,Submit Research proposal,
26-Oct,,Research individual frameworks,
02-Nov,6,Evaluate Websites using JEE frameworks,
09-Nov,,Literature review,
16-Nov,7,Choose framework to create prototype,
23-Nov,,Search GitHub projects for project scale,
30-Nov,8,Begin Designing JEE app,
07-Dec,,Design UML,
14-Dec,9,ORM Database design,
21-Dec,,ORM Database design,
28-Dec,10,Begin coding app,
04/01/2016,,Plugin framework,
11-Jan,,Document system map,
18-Jan,,Document task completion,
25-Jan,11,Compare code on researched frameworks,
01-Feb,,,
08-Feb,,,
15-Feb,12,Fill app with test data,
22-Feb,13,Choose testing process,
29-Feb,,,
07-Mar,14,Test app module connectivity,
14-Mar,,Release alpha,
21-Mar,,,
28-Mar,15,Populate database and design website,
04-Apr,,Release beta,
11-Apr,,Documentation,
18-Apr,16,Test database,
25-Apr,17,Test session and security,
02-May,,,
09-May,18,Final testing,
16-May,19,Documentation,
23-May,,Testing,
30-May,,Final release - Deploy,